Generation,Animal count,Bush count,Average energy,Average life span for dead animals,Average number of children per animal
104,12,60,49.0,0.0,0.6666666666666666
105,12,61,48.0,0.0,0.6666666666666666
106,11,62,51.36363636363637,99.0,0.7272727272727273
107,11,62,51.27272727272727,99.0,0.7272727272727273
108,11,63,51.36363636363637,99.0,0.7272727272727273
109,11,63,51.27272727272727,99.0,0.7272727272727273
110,11,62,52.09090909090909,99.0,0.7272727272727273
111,11,63,52.09090909090909,99.0,0.7272727272727273
112,11,61,54.72727272727273,99.0,0.7272727272727273
113,11,59,57.36363636363637,99.0,0.7272727272727273
114,11,58,59.18181818181818,99.0,0.7272727272727273
115,11,57,60.90909090909091,99.0,0.7272727272727273
116,11,56,61.72727272727273,99.0,0.7272727272727273
117,11,57,60.72727272727273,99.0,0.7272727272727273
118,11,58,59.81818181818182,99.0,0.7272727272727273
119,10,59,64.8,96.5,0.8
120,10,60,64.9,96.5,0.8
121,10,61,65.0,96.5,0.8
122,10,61,65.0,96.5,0.8
123,10,61,65.1,96.5,0.8
124,10,61,65.3,96.5,0.8
125,10,61,65.3,96.5,0.8
126,10,61,65.3,96.5,0.8
127,10,60,66.3,96.5,0.8
128,10,61,65.4,96.5,0.8
129,10,61,65.5,96.5,0.8
130,10,62,64.5,96.5,0.8
131,10,63,63.6,96.5,0.8
132,10,63,63.7,96.5,0.8
133,10,64,62.7,96.5,0.8
134,10,63,63.7,96.5,0.8
135,10,64,62.7,96.5,0.8
136,10,65,61.7,96.5,0.8
137,10,64,62.7,96.5,0.8
138,10,63,63.7,96.5,0.8
139,10,64,62.7,96.5,0.8
140,10,65,62.7,96.5,0.8
141,10,66,62.7,96.5,0.8
142,10,66,62.7,96.5,0.8
143,10,67,61.8,96.5,0.8
144,10,68,60.8,96.5,0.8
145,10,68,60.8,96.5,0.8
146,10,66,63.8,96.5,0.8
147,10,67,63.8,96.5,0.8
148,10,66,64.8,96.5,0.8
149,10,66,64.8,96.5,0.8
150,10,67,63.8,96.5,0.8
151,10,67,64.8,96.5,0.8
152,10,67,65.8,96.5,0.8
153,10,68,65.8,96.5,0.8
154,10,68,66.8,96.5,0.8
155,11,67,61.72727272727273,96.5,0.9090909090909091
156,11,66,63.45454545454545,96.5,0.9090909090909091
157,11,64,65.27272727272727,96.5,0.9090909090909091
158,11,64,66.27272727272727,96.5,0.9090909090909091
159,11,63,68.0,96.5,0.9090909090909091
160,11,63,68.0,96.5,0.9090909090909091
